generation individual worker  nCores        st        ft
         3          4      3        4	    222        250
         3          5      4        4	    222        302
         3          6      4        2	    222        254
         3          7      4        2	    222        332
         3          8      5        2	    222        317

         3          9      5        2     222        291
         3         10      5        2     222	       264
         3         11      5        1     222	       228
         3         12      5        1     222	       253
         3         13      6        1     222	       266
         3         14      6        1     222	       241
         3         15      6        1     222	       248
         3         16      6        1     222	       260

         3         17      6        1     222	       247
         3         18      6        1     222	       282
         3         19      6        1     222	       299
         3         20      6        1     222	       259
         3         21      7        1     222	       278
         3         22      7        1     222	       226
         3         23      7        1     222	       256
         3         24      7        1     222	       276

         3         25      7        1     222	       315
         3         26      7        1     222	       332
         3         27      7        1     222	       237
         3         28      7        1     222	       226
         3         29      8        1     222	       288
         3         30      8        1     222	       278
         3         31      8        1     222	       299
         3         32      8        1     222	       283

         3         33      8        1     222	       258
         3         34      8        1     222	       244
         3         35      8        1     222	       268
         3         36      8        1     222	       276
         3         37      9        1     222	       252
         3         38      9        1     222	       287
         3         39      9        1     222	       259
         3         40      9        1     222	       276

         3         41      9        1     222	       249
         3         42      9        1     222	       247
         3         43      9        1     222	       297
         3         44      9        1     222	       249
         3         45     10        1     222	       272
         3         46     10        1     222	       245
         3         47     10        1     222	       289
         3         48     10        1     222	       246

         3         49     10        1     222	       261
         3         50     10        1     222	       246
         3         51     10        1     222	       232
         3         52     10        1     222	       261
         3         53     11        1     222	       244
         3         54     11        1     222	       268
         3         55     11        1     222	       232
         3         56     11        1     222	       234

         3         57     11        1     222	       257
         3         58     11        1     222	       228
         3         59     11        1     222	       228
         3         60     11        1     222	       290
         3         NA                      NA	          
         3         NA                      NA	          
         3         NA                      NA	          
         3         NA                      NA	          

         4          1      1        8	    332        356 
         4          2      2        8	    332	       347   
         4          3      3        8	    332	       355   
         4          4      4        8	    332	       400
         4          5      5        4	    332	       397
         4          6      5        4	    332	       361
         4          7      6        2	    332	       435
         4          8      6        2	    332	       426

         4          9      6        2	    332	       427
         4         10      6        2	    332	       382
         4         11      7        2	    332	       443
         4         12      7        2	    332	       361
         4         13      7        1	    332	       443   
         4         14      7        1	    332	       378
         4         15      7        1	    332	       357
         4         16      7        1	    332	       354

         4         17      8        1	    332	       357
         4         18      8        1	    332	       369
         4         19      8        1	    332	       391
         4         20      8        1	    332	       384
         4         21      8        1	    332	       380
         4         22      8        1	    332	       415
         4         23      8        1	    332	       397
         4         24      8        1	    332	       336

         4         25      9        1	    332	       369
         4         26      9        1	    332	       417
         4         27      9        1	    332	       386
         4         28      9        1	    332	       348
         4         29      9        1	    332	       355
         4         30      9        1	    332	       336
         4         31      9        1	    332	       362
         4         32      9        1	    332	       387

         4         33     10        1	    332	       387   
         4         34     10        1	    332	       396
         4         35     10        1	    332	       402
         4         36     10        1	    332	       397
