taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
3027 5870 3 60 250 1 1 jonquera-ga-8-cores C5 C4
3028 5870 3 60 630 1 1 jonquera-ga-8-cores C5 C4
3029 5870 3 60 2520 1 1 jonquera-ga-8-cores C5 C4
3030 5870 3 60 250 1 1 jonquera-ga-8-cores C5 C4
3031 5870 3 60 350 1 1 jonquera-ga-8-cores C5 C4
3032 5870 3 60 1860 1 1 jonquera-ga-8-cores C5 C4
3033 5870 3 60 1720 1 1 jonquera-ga-8-cores C5 C4
3034 5870 3 60 1480 1 1 jonquera-ga-8-cores C5 C4
3035 5870 3 60 370 1 1 jonquera-ga-8-cores C5 C4
3036 5870 3 60 800 1 1 jonquera-ga-8-cores C5 C4
3037 5870 3 60 300 1 1 jonquera-ga-8-cores C5 C4
3038 5870 3 60 550 1 1 jonquera-ga-8-cores C5 C4
3039 5870 3 60 1110 1 1 jonquera-ga-8-cores C5 C4
3040 5870 3 60 2540 1 1 jonquera-ga-8-cores C5 C4
3041 5870 3 60 370 1 1 jonquera-ga-8-cores C5 C4
3042 5870 3 60 530 1 1 jonquera-ga-8-cores C5 C4
3043 5870 3 60 1370 1 1 jonquera-ga-8-cores C5 C4
3044 5870 3 60 1330 1 1 jonquera-ga-8-cores C5 C4
3045 5870 3 60 1830 1 1 jonquera-ga-8-cores C5 C4
3046 5870 3 60 780 1 1 jonquera-ga-8-cores C5 C4
3047 5870 3 60 230 1 1 jonquera-ga-8-cores C5 C4
3048 5870 3 60 2050 1 1 jonquera-ga-8-cores C5 C4
3049 5870 3 60 590 1 1 jonquera-ga-8-cores C5 C4
3050 5870 3 60 1960 1 1 jonquera-ga-8-cores C5 C4
3051 5870 3 60 450 1 1 jonquera-ga-8-cores C5 C4
3052 5870 3 60 530 1 1 jonquera-ga-8-cores C5 C4
3053 5870 3 60 630 1 1 jonquera-ga-8-cores C5 C4
3054 5870 3 60 2510 1 1 jonquera-ga-8-cores C5 C4
3055 5870 3 60 1750 1 1 jonquera-ga-8-cores C5 C4
3056 5870 3 60 700 1 1 jonquera-ga-8-cores C5 C4
3057 5870 3 60 1060 1 1 jonquera-ga-8-cores C5 C4
3058 5870 3 60 2470 1 1 jonquera-ga-8-cores C5 C4
3059 5870 3 60 1880 1 1 jonquera-ga-8-cores C5 C4
3060 5870 3 60 530 1 1 jonquera-ga-8-cores C5 C4
4001 8400 4 60 1340 1 1 jonquera-ga-8-cores C5 C4
4002 8400 4 60 1620 1 1 jonquera-ga-8-cores C5 C4
4003 8400 4 60 1620 1 1 jonquera-ga-8-cores C5 C4
4004 8400 4 60 370 1 1 jonquera-ga-8-cores C5 C4
4005 8400 4 60 1420 1 1 jonquera-ga-8-cores C5 C4
4006 8400 4 60 730 1 1 jonquera-ga-8-cores C5 C4
4007 8400 4 60 1280 1 1 jonquera-ga-8-cores C5 C4
4008 8400 4 60 1950 1 1 jonquera-ga-8-cores C5 C4
4009 8400 4 60 350 1 1 jonquera-ga-8-cores C5 C4
4010 8400 4 60 1250 1 1 jonquera-ga-8-cores C5 C4
4011 8400 4 60 660 1 1 jonquera-ga-8-cores C5 C4
4012 8400 4 60 600 1 1 jonquera-ga-8-cores C5 C4
4013 8400 4 60 1010 1 1 jonquera-ga-8-cores C5 C4
4014 8400 4 60 750 1 1 jonquera-ga-8-cores C5 C4
4015 8400 4 60 1300 1 1 jonquera-ga-8-cores C5 C4
4016 8400 4 60 1340 1 1 jonquera-ga-8-cores C5 C4
4017 8400 4 60 1320 1 1 jonquera-ga-8-cores C5 C4
4018 8400 4 60 470 1 1 jonquera-ga-8-cores C5 C4
4019 8400 4 60 980 1 1 jonquera-ga-8-cores C5 C4
4020 8400 4 60 540 1 1 jonquera-ga-8-cores C5 C4
4021 8400 4 60 940 1 1 jonquera-ga-8-cores C5 C4
4022 8400 4 60 330 1 1 jonquera-ga-8-cores C5 C4
4023 8400 4 60 1380 1 1 jonquera-ga-8-cores C5 C4
4024 8400 4 60 420 1 1 jonquera-ga-8-cores C5 C4
4025 8400 4 60 730 1 1 jonquera-ga-8-cores C5 C4
4026 8400 4 60 810 1 1 jonquera-ga-8-cores C5 C4
4027 8400 4 60 2380 1 1 jonquera-ga-8-cores C5 C4
4028 8400 4 60 710 1 1 jonquera-ga-8-cores C5 C4
4029 8400 4 60 520 1 1 jonquera-ga-8-cores C5 C4
4030 8400 4 60 1800 1 1 jonquera-ga-8-cores C5 C4
4031 8400 4 60 420 1 1 jonquera-ga-8-cores C5 C4
4032 8400 4 60 490 1 1 jonquera-ga-8-cores C5 C4
4033 8400 4 60 600 1 1 jonquera-ga-8-cores C5 C4
4034 8400 4 60 1130 1 1 jonquera-ga-8-cores C5 C4
4035 8400 4 60 620 1 1 jonquera-ga-8-cores C5 C4
4036 8400 4 60 520 1 1 jonquera-ga-8-cores C5 C4
4037 8400 4 60 1490 1 1 jonquera-ga-8-cores C5 C4
4038 8400 4 60 730 1 1 jonquera-ga-8-cores C5 C4
4039 8400 4 60 1690 1 1 jonquera-ga-8-cores C5 C4
4040 8400 4 60 640 1 1 jonquera-ga-8-cores C5 C4
4041 8400 4 60 770 1 1 jonquera-ga-8-cores C5 C4
4042 8400 4 60 710 1 1 jonquera-ga-8-cores C5 C4
4043 8400 4 60 620 1 1 jonquera-ga-8-cores C5 C4
4044 8400 4 60 420 1 1 jonquera-ga-8-cores C5 C4
4045 8400 4 60 1360 1 1 jonquera-ga-8-cores C5 C4
4046 8400 4 60 900 1 1 jonquera-ga-8-cores C5 C4
4047 8400 4 60 1230 1 1 jonquera-ga-8-cores C5 C4
4048 8400 4 60 540 1 1 jonquera-ga-8-cores C5 C4
4049 8400 4 60 490 1 1 jonquera-ga-8-cores C5 C4
4050 8400 4 60 1420 1 1 jonquera-ga-8-cores C5 C4
4051 8400 4 60 1420 1 1 jonquera-ga-8-cores C5 C4
4052 8400 4 60 350 1 1 jonquera-ga-8-cores C5 C4
4053 8400 4 60 2440 1 1 jonquera-ga-8-cores C5 C4
4054 8400 4 60 2010 1 1 jonquera-ga-8-cores C5 C4
4055 8400 4 60 1710 1 1 jonquera-ga-8-cores C5 C4
4056 8400 4 60 600 1 1 jonquera-ga-8-cores C5 C4
4057 8400 4 60 1250 1 1 jonquera-ga-8-cores C5 C4
4058 8400 4 60 870 1 1 jonquera-ga-8-cores C5 C4
4059 8400 4 60 330 1 1 jonquera-ga-8-cores C5 C4
4060 8400 4 60 450 1 1 jonquera-ga-8-cores C5 C4
5001 10850 5 60 980 1 1 jonquera-ga-8-cores C5 C4
5002 10850 5 60 930 1 1 jonquera-ga-8-cores C5 C4
5003 10850 5 60 1250 1 1 jonquera-ga-8-cores C5 C4
5004 10850 5 60 1090 1 1 jonquera-ga-8-cores C5 C4
5005 10850 5 60 1970 1 1 jonquera-ga-8-cores C5 C4
5006 10850 5 60 950 1 1 jonquera-ga-8-cores C5 C4
5007 10850 5 60 360 1 1 jonquera-ga-8-cores C5 C4
