taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
 197081  90288   71  9843 1103   8   8 gwa-t10 C2 C2
 197082  90288   71  9843 3739   8   8 gwa-t10 C2 C2
 197083  90288   71  9843 2007   8   8 gwa-t10 C2 C2
 197084  90288   71  9843 3676   8   8 gwa-t10 C2 C2
 197085  90288   71  9843  262   8   8 gwa-t10 C2 C2
 197086  90288   71  9843 5043   8   8 gwa-t10 C2 C2
 197087  90288   71  9843 3936   8   8 gwa-t10 C2 C2
 197088  90288   71  9843 1213   8   8 gwa-t10 C2 C2
 197089  90288   71  9843 1714   8   8 gwa-t10 C2 C2
 197090  90288   71  9843 3061   8   8 gwa-t10 C2 C2
 197091  90288   71  9843 2274   8   8 gwa-t10 C2 C2
 197092  90288   71  9843  186   8   8 gwa-t10 C2 C2
 197093  90288   71  9843 7344   8   8 gwa-t10 C2 C2
 197094  90288   71  9843 3346   8   8 gwa-t10 C2 C2
 197095  90288   71  9843 3564   8   8 gwa-t10 C2 C2
 197096  90288   71  9843 2266   8   8 gwa-t10 C2 C2
 197097  90288   71  9843 3360   8   8 gwa-t10 C2 C2
 197098  90288   71  9843 1678   8   8 gwa-t10 C2 C2
 197099  90288   71  9843  885   8   8 gwa-t10 C2 C2
 197100  90288   71  9843 1701   8   8 gwa-t10 C2 C2
 197101  90288   71  9843  494   8   8 gwa-t10 C2 C2
 197102  90288   71  9843  775   8   8 gwa-t10 C2 C2
 197103  90288   71  9843 4260   8   8 gwa-t10 C2 C2
 197104  90288   71  9843 1367   8   8 gwa-t10 C2 C2
 197105  90288   71  9843 2648   8   8 gwa-t10 C2 C2
 197106  90288   71  9843 1427   8   8 gwa-t10 C2 C2
 197107  90288   71  9843 2274   8   8 gwa-t10 C2 C2
 197108  90288   71  9843 1044   8   8 gwa-t10 C2 C2
 197109  90288   71  9843  494   8   8 gwa-t10 C2 C2
 197110  90288   71  9843 2503   8   8 gwa-t10 C2 C2
 197111  90288   71  9843 1824   8   8 gwa-t10 C2 C2
 197112  90288   71  9843 1894   8   8 gwa-t10 C2 C2
 197113  90288   71  9843 5631   8   8 gwa-t10 C2 C2
 197114  90288   71  9843 2404   8   8 gwa-t10 C2 C2
 197115  90288   71  9843 1318   8   8 gwa-t10 C2 C2
 197116  90288   71  9843 4406   8   8 gwa-t10 C2 C2
 197117  90288   71  9843 2921   8   8 gwa-t10 C2 C2
 197118  90288   71  9843 3453   8   8 gwa-t10 C2 C2
 197119  90288   71  9843 5284   8   8 gwa-t10 C2 C2
 197120  90288   71  9843 3406   8   8 gwa-t10 C2 C2
 197121  90288   71  9843 3607   8   8 gwa-t10 C2 C2
 197122  90288   71  9843 5007   8   8 gwa-t10 C2 C2
 197123  90288   71  9843 2629   8   8 gwa-t10 C2 C2
 197124  90288   71  9843 3985   8   8 gwa-t10 C2 C2
 197125  90288   71  9843 2129   8   8 gwa-t10 C2 C2
 197126  90288   71  9843 1435   8   8 gwa-t10 C2 C2
 197127  90288   71  9843 3246   8   8 gwa-t10 C2 C2
 197128  90288   71  9843 4307   8   8 gwa-t10 C2 C2
 197129  90288   71  9843 3698   8   8 gwa-t10 C2 C2
 197130  90288   71  9843 2646   8   8 gwa-t10 C2 C2
 197131  90288   71  9843 2399   8   8 gwa-t10 C2 C2
 197132  90288   71  9843 1338   8   8 gwa-t10 C2 C2
 197133  90288   71  9843 3693   8   8 gwa-t10 C2 C2
 197134  90288   71  9843 2691   8   8 gwa-t10 C2 C2
 197135  90288   71  9843 1093   8   8 gwa-t10 C2 C2
 197136  90288   71  9843 2121   8   8 gwa-t10 C2 C2
 197137  90288   71  9843 2555   8   8 gwa-t10 C2 C2
 197138  90288   71  9843 4637   8   8 gwa-t10 C2 C2
 197139  90288   71  9843 3721   8   8 gwa-t10 C2 C2
 197140  90288   71  9843 1128   8   8 gwa-t10 C2 C2
 197141  90288   71  9843 2118   8   8 gwa-t10 C2 C2
 197142  90288   71  9843 1360   8   8 gwa-t10 C2 C2
 197143  90288   71  9843 2119   8   8 gwa-t10 C2 C2
 197144  90288   71  9843  574   8   8 gwa-t10 C2 C2
 197145  90288   71  9843 3340   8   8 gwa-t10 C2 C2
 197146  90288   71  9843 1918   8   8 gwa-t10 C2 C2
 197147  90288   71  9843 4433   8   8 gwa-t10 C2 C2
 197148  90288   71  9843 2162   8   8 gwa-t10 C2 C2
 197149  90288   71  9843 4388   8   8 gwa-t10 C2 C2
 197150  90288   71  9843 2784   8   8 gwa-t10 C2 C2
 197151  90288   71  9843 2806   8   8 gwa-t10 C2 C2
 197152  90288   71  9843 4308   8   8 gwa-t10 C2 C2
 197153  90288   71  9843 4227   8   8 gwa-t10 C2 C2
 197154  90288   71  9843 4774   8   8 gwa-t10 C2 C2
 197155  90288   71  9843 4509   8   8 gwa-t10 C2 C2
 197156  90288   71  9843 3195   8   8 gwa-t10 C2 C2
 197157  90288   71  9843 2460   8   8 gwa-t10 C2 C2
 197158  90288   71  9843 3900   8   8 gwa-t10 C2 C2
 197159  90288   71  9843 4628   8   8 gwa-t10 C2 C2
 197160  90288   71  9843 1441   8   8 gwa-t10 C2 C2
 197161  90288   71  9843 4051   8   8 gwa-t10 C2 C2
 197162  90288   71  9843 1974   8   8 gwa-t10 C2 C2
 197163  90288   71  9843 3315   8   8 gwa-t10 C2 C2
 197164  90288   71  9843 5841   8   8 gwa-t10 C2 C2
 197165  90288   71  9843 3111   8   8 gwa-t10 C2 C2
 197166  90288   71  9843 3004   8   8 gwa-t10 C2 C2
 197167  90288   71  9843  807   8   8 gwa-t10 C2 C2
 197168  90288   71  9843  274   8   8 gwa-t10 C2 C2
 197169  90288   71  9843 1890   8   8 gwa-t10 C2 C2
 197170  90288   71  9843 3281   8   8 gwa-t10 C2 C2
 197171  90288   71  9843 1276   8   8 gwa-t10 C2 C2
 197172  90288   71  9843 1761   8   8 gwa-t10 C2 C2
 197173  90288   71  9843 1753   8   8 gwa-t10 C2 C2
 197174  90288   71  9843 1026   8   8 gwa-t10 C2 C2
 197175  90288   71  9843 3627   8   8 gwa-t10 C2 C2
 197176  90288   71  9843 2152   8   8 gwa-t10 C2 C2
 197177  90288   71  9843  867   8   8 gwa-t10 C2 C2
 197178  90288   71  9843 1528   8   8 gwa-t10 C2 C2
 197179  90288   71  9843 2527   8   8 gwa-t10 C2 C2
 197180  90288   71  9843 3835   8   8 gwa-t10 C2 C2
 197181  90288   71  9843 3321   8   8 gwa-t10 C2 C2
 197182  90288   71  9843 1702   8   8 gwa-t10 C2 C2
 197183  90288   71  9843  732   8   8 gwa-t10 C2 C2
 197184  90288   71  9843 1803   8   8 gwa-t10 C2 C2
 197185  90288   71  9843  996   8   8 gwa-t10 C2 C2
 197186  90288   71  9843 3860   8   8 gwa-t10 C2 C2
 197187  90288   71  9843 2089   8   8 gwa-t10 C2 C2
 197188  90288   71  9843 2986   8   8 gwa-t10 C2 C2
 197189  90288   71  9843 2825   8   8 gwa-t10 C2 C2
 197190  90288   71  9843 3738   8   8 gwa-t10 C2 C2
 197191  90288   71  9843 2769   8   8 gwa-t10 C2 C2
 197192  90288   71  9843 4850   8   8 gwa-t10 C2 C2
 197193  90288   71  9843 1034   8   8 gwa-t10 C2 C2
 197194  90288   71  9843 6324   8   8 gwa-t10 C2 C2
 197195  90288   71  9843 8099   8   8 gwa-t10 C2 C2
 197196  90288   71  9843 2755   8   8 gwa-t10 C2 C2
 197197  90288   71  9843 1643   8   8 gwa-t10 C2 C2
 197198  90288   71  9843 3302   8   8 gwa-t10 C2 C2
 197199  90288   71  9843 1626   8   8 gwa-t10 C2 C2
 197200  90288   71  9843 2952   8   8 gwa-t10 C2 C2
 197201  90288   71  9843   55   8   8 gwa-t10 C2 C2
 197202  90288   71  9843 5829   8   8 gwa-t10 C2 C2
 197203  90288   71  9843 2897   8   8 gwa-t10 C2 C2
 197204  90288   71  9843 2520   8   8 gwa-t10 C2 C2
 197205  90288   71  9843 2797   8   8 gwa-t10 C2 C2
 197206  90288   71  9843 1937   8   8 gwa-t10 C2 C2
 197207  90288   71  9843 5573   8   8 gwa-t10 C2 C2
 197208  90288   71  9843 1339   8   8 gwa-t10 C2 C2
 197209  90288   71  9843 2906   8   8 gwa-t10 C2 C2
 197210  90288   71  9843 2262   8   8 gwa-t10 C2 C2
 197211  90288   71  9843 2163   8   8 gwa-t10 C2 C2
 197212  90288   71  9843 3891   8   8 gwa-t10 C2 C2
 197213  90288   71  9843 4487   8   8 gwa-t10 C2 C2
 197214  90288   71  9843 2431   8   8 gwa-t10 C2 C2
 197215  90288   71  9843 3629   8   8 gwa-t10 C2 C2
 197216  90288   71  9843 2549   8   8 gwa-t10 C2 C2
 197217  90288   71  9843 2014   8   8 gwa-t10 C2 C2
 197218  90288   71  9843 4707   8   8 gwa-t10 C2 C2
 197219  90288   71  9843 3738   8   8 gwa-t10 C2 C2
 197220  90288   71  9843 4413   8   8 gwa-t10 C2 C2
 197221  90288   71  9843 2848   8   8 gwa-t10 C2 C2
 197222  90288   71  9843 1662   8   8 gwa-t10 C2 C2
 197223  90288   71  9843 4367   8   8 gwa-t10 C2 C2
 197224  90288   71  9843 5025   8   8 gwa-t10 C2 C2
 197225  90288   71  9843 3453   8   8 gwa-t10 C2 C2
 197226  90288   71  9843 2970   8   8 gwa-t10 C2 C2
 197227  90288   71  9843 4053   8   8 gwa-t10 C2 C2
 197228  90288   71  9843 3818   8   8 gwa-t10 C2 C2
 197229  90288   71  9843  813   8   8 gwa-t10 C2 C2
 197230  90288   71  9843  838   8   8 gwa-t10 C2 C2
 197231  90288   71  9843 2418   8   8 gwa-t10 C2 C2
 197232  90288   71  9843   32   8   8 gwa-t10 C2 C2
 197233  90288   71  9843 3891   8   8 gwa-t10 C2 C2
 197234  90288   71  9843 4287   8   8 gwa-t10 C2 C2
 197235  90288   71  9843 2040   8   8 gwa-t10 C2 C2
 197236  90288   71  9843 1478   8   8 gwa-t10 C2 C2
 197237  90288   71  9843 3191   8   8 gwa-t10 C2 C2
 197238  90288   71  9843 2636   8   8 gwa-t10 C2 C2
 197239  90288   71  9843 3083   8   8 gwa-t10 C2 C2
 197240  90288   71  9843 3358   8   8 gwa-t10 C2 C2
 197241  90288   71  9843 3980   8   8 gwa-t10 C2 C2
 197242  90288   71  9843 3361   8   8 gwa-t10 C2 C2
 197243  90288   71  9843 4391   8   8 gwa-t10 C2 C2
 197244  90288   71  9843 5816   8   8 gwa-t10 C2 C2
 197245  90288   71  9843 3023   8   8 gwa-t10 C2 C2
 197246  90288   71  9843 1880   8   8 gwa-t10 C2 C2
 197247  90288   71  9843 1318   8   8 gwa-t10 C2 C2
 197248  90288   71  9843 1783   8   8 gwa-t10 C2 C2
 197249  90288   71  9843 6515   8   8 gwa-t10 C2 C2
 197250  90288   71  9843 1363   8   8 gwa-t10 C2 C2
 197251  90288   71  9843 3859   8   8 gwa-t10 C2 C2
 197252  90288   71  9843 3507   8   8 gwa-t10 C2 C2
 197253  90288   71  9843  447   8   8 gwa-t10 C2 C2
 197254  90288   71  9843 6296   8   8 gwa-t10 C2 C2
 197255  90288   71  9843 3196   8   8 gwa-t10 C2 C2
 197256  90288   71  9843 2691   8   8 gwa-t10 C2 C2
 197257  90288   71  9843 2801   8   8 gwa-t10 C2 C2
 197258  90288   71  9843  953   8   8 gwa-t10 C2 C2
